客户ID,客户名称,行业,规模(人),年采购额(万),合作时长(月),最近跟进日期,跟进次数,意向等级
C001,华兴电子,电子制造,1200,850,24,2026-05-20,12,高
C002,瑞康医药,医药健康,800,620,18,2026-05-22,9,高
C003,鼎盛食品,食品加工,350,280,12,2026-05-15,6,中
C004,天恒科技,IT/互联网,2000,1500,36,2026-05-25,15,高
C005,远景地产,房地产,500,420,8,2026-05-10,4,中
C006,绿源环保,环保能源,150,180,6,2026-05-18,3,低
C007,盛世教育,教育培训,80,95,3,2026-04-28,2,低
C008,博雅医疗,医疗器械,600,750,20,2026-05-23,11,高
C009,中联物流,物流运输,400,310,15,2026-05-19,7,中
C010,新锐科技,IT/互联网,180,220,10,2026-05-21,5,中
C011,金源化工,化工原料,900,1100,30,2026-05-24,14,高
C012,创享传媒,广告传媒,60,45,2,2026-04-20,1,低
C013,恒达机械,机械设备,750,580,22,2026-05-20,10,高
C014,瑞丰农业,农业/食品,200,160,5,2026-05-12,3,低
C015,华通建设,建筑工程,1200,950,28,2026-05-22,13,高
C016,悦动体育,体育用品,120,130,4,2026-05-08,3,中
C017,蓝海科技,IT/互联网,300,380,14,2026-05-20,8,中
C018,康悦养老,医疗健康,100,85,2,2026-04-30,2,低
C019,卓越电子,电子制造,450,520,16,2026-05-21,9,高
C020,天禾农业,农业科技,80,65,3,2026-05-05,2,低
